sample,date,time,datetime,discharge,d7Li,2SD,Li,Na
S16_1,2016-10-11 11:40:00,2016-10-11 11:40:00,2016-10-11 11:40:00,0.4,24.1811609922085,0.0918622404117864,0.530766273856335,
SE3-01,2016-10-12 00:00:00,14:50:00,2016-10-12 14:50:00,0.4,24.1981564951838,0.117488553731707,0.4992,1595
SE3-02,2016-10-12 00:00:00,15:50:00,2016-10-12 15:50:00,0.4,,,0.4618,1407.15
SE3-03,2016-10-12 00:00:00,16:50:00,2016-10-12 16:50:00,0.4,24.4097540072344,0.0719653965532064,0.510657331533699,1439.2
SE3-04,2016-10-12 00:00:00,17:50:00,2016-10-12 17:50:00,0.4,,,0.503426267007363,1439.25
SE3-05,2016-10-12 00:00:00,18:50:00,2016-10-12 18:50:00,0.6,24.680369214528,0.16709875497897,0.512836494098868,1436.95
SE3-06,2016-10-12 00:00:00,19:50:00,2016-10-12 19:50:00,1,,,0.508004567195283,1414.85
SE3-07,2016-10-12 00:00:00,20:50:00,2016-10-12 20:50:00,1.2,24.1804306596065,0.0769430594711049,0.52243114578472,1442.5
SE3-08,2016-10-12 00:00:00,21:50:00,2016-10-12 21:50:00,1.4,,,0.49877410032028,1453.4
SE3-09,2016-10-12 00:00:00,22:50:00,2016-10-12 22:50:00,1.5,25.0573213316724,0.063101317536716,0.51564633932004,1434.1
SE3-10,2016-10-12 00:00:00,23:50:00,2016-10-12 23:50:00,1.6,,,0.50120327066316,1427
SE3-11,2016-10-13 00:00:00,00:50:00,2016-10-13 00:50:00,1.7,24.2787997710378,0.26231656421156,0.506807526889626,1365.85
SE3-12,2016-10-13 00:00:00,01:50:00,2016-10-13 01:50:00,1.9,,,0.504301999735061,1396.45
SE3-13,2016-10-13 00:00:00,02:50:00,2016-10-13 02:50:00,2,24.6857215042265,0.264447472449657,0.498480284253699,1358.15
SE3-14,2016-10-13 00:00:00,03:50:00,2016-10-13 03:50:00,2.4,,,0.488102565433378,1329.95
SE3-15,2016-10-13 00:00:00,04:50:00,2016-10-13 04:50:00,2.7,24.5924010922233,0.11206212390177,0.492879853230525,1317
SE3-17,2016-10-13 00:00:00,06:50:00,2016-10-13 06:50:00,3.2,25.126259382161,0.211811381022318,0.479738708653912,1276.05
SE3-18,2016-10-13 00:00:00,07:50:00,2016-10-13 07:50:00,2.7,,,0.48862679390768,1300.1
SE3-19,2016-10-13 00:00:00,08:50:00,2016-10-13 08:50:00,2.9,24.8199229817129,0.228581522547985,0.516492933077116,1339.8
SE3-20,2016-10-13 00:00:00,09:50:00,2016-10-13 09:50:00,3.2,,,0.518962985551803,1283.2
SE3-21,2016-10-13 00:00:00,10:50:00,2016-10-13 10:50:00,3.3,,,0.505954964393034,1267.25
SE3-23,2016-10-13 00:00:00,12:50:00,2016-10-13 12:50:00,3.2,,,0.534469421449766,1242.6
SE3-24,2016-10-13 00:00:00,13:50:00,2016-10-13 13:50:00,3.2,,,0.541199378787126,1253.95
SE3-25,2016-10-13 00:00:00,14:50:00,2016-10-13 14:50:00,3.2,24.7148538888427,0.135209948508952,0.536835967783248,1275.7
SE3-26,2016-10-13 00:00:00,15:50:00,2016-10-13 15:50:00,3.8,,,0.542295552962093,1225.5
SE3-27,2016-10-13 00:00:00,16:50:00,2016-10-13 16:50:00,4,24.9573846108874,0.172149527823171,0.581031130301204,1240.65
SE3-28,2016-10-13 00:00:00,17:50:00,2016-10-13 17:50:00,4.1,,,0.585826742417529,1303.15
SE3-29,2016-10-13 00:00:00,18:50:00,2016-10-13 18:50:00,4.3,,,0.575704761738298,1302.1
SE3-30,2016-10-13 00:00:00,19:50:00,2016-10-13 19:50:00,6.3,,,0.56967479132438,1321.45
SE3-31,2016-10-13 00:00:00,20:50:00,2016-10-13 20:50:00,7,25.1469506624161,0.127892431112593,0.568143114059964,1236.15
SE3-32,2016-10-13 00:00:00,21:50:00,2016-10-13 21:50:00,11.5,,,0.565093588597481,1202.45
SE3-33,2016-10-13 00:00:00,22:50:00,2016-10-13 22:50:00,17.1,24.3578514169985,0.117023093216931,0.589473133134374,1191.25
SE3-34,2016-10-13 00:00:00,23:50:00,2016-10-13 23:50:00,19.2,24.3655199639778,0.236960105015441,0.569123899275991,1201
SE3-35,2016-10-14 00:00:00,00:50:00,2016-10-14 00:50:00,20.1,24.334955151491,0.121624813012601,0.597099261064414,1205.7
SE3-36,2016-10-14 00:00:00,01:50:00,2016-10-14 01:50:00,29.5,24.0386228763508,0.0314114605468078,0.603955585622367,1143.5
SE3-37,2016-10-14 00:00:00,02:50:00,2016-10-14 02:50:00,26.1,,,0.59547720804516,1157.75
SE3-38,2016-10-14 00:00:00,03:50:00,2016-10-14 03:50:00,24,23.6988642566028,0.372995237479002,0.655554837257849,1111.65
SE3-39,2016-10-14 00:00:00,04:50:00,2016-10-14 04:50:00,21.9,,,0.644859180348384,1147.75
SE3-40,2016-10-14 00:00:00,05:50:00,2016-10-14 05:50:00,20.2,,,0.644133843373232,1222.75
SE3-41,2016-10-14 00:00:00,06:50:00,2016-10-14 06:50:00,21,,,0.632648756088785,1177.7
SE3-42,2016-10-14 00:00:00,07:50:00,2016-10-14 07:50:00,22.2,,,0.646614413716051,1182.9
SE3-43,2016-10-14 00:00:00,08:50:00,2016-10-14 08:50:00,17.6,23.8030523679432,0.0410581537766965,0.653539469724326,1166.4
SE3-44,2016-10-14 00:00:00,09:50:00,2016-10-14 09:50:00,22.4,,,0.656134851275359,1222.65
SE3-45,2016-10-14 00:00:00,10:50:00,2016-10-14 10:50:00,34.5,23.7016250846421,0.134783634194863,0.654399337092643,1130.55
SE3-46,2016-10-14 00:00:00,12:00:00,2016-10-14 12:00:00,49.4,,,0.604943998531274,1300.75
SE3-47,2016-10-14 00:00:00,16:00:00,2016-10-14 16:00:00,28,22.8403408329988,0.111123698685871,0.659875861655457,1058.65
SE3-48,2016-10-14 00:00:00,20:00:00,2016-10-14 20:00:00,23.5,,,0.648588868147681,1292.55
SE3-49,2016-10-15 00:00:00,00:00:00,2016-10-15 00:00:00,21.8,22.9931092393115,0.0837157826930123,0.64050159905921,1155.25
SE3-50,2016-10-15 00:00:00,04:00:00,2016-10-15 04:00:00,21.2,,,0.586878,1304.4
SE3-51,2016-10-15 00:00:00,08:00:00,2016-10-15 08:00:00,21.1,23.1952313948182,0.0406869292504537,0.619677446413742,1232
SE3-52,2016-10-15 00:00:00,12:00:00,2016-10-15 12:00:00,21.1,,,0.630571557167897,1291.55
SE3-53,2016-10-15 00:00:00,16:00:00,2016-10-15 16:00:00,21.1,23.046110064102,0.0899096082725611,0.656345472479747,1190.95
SE3-54,2016-10-15 00:00:00,20:00:00,2016-10-15 20:00:00,21.4,,,0.65460921760499,1332.05
SE3-55,2016-10-16 00:00:00,00:00:00,2016-10-16 00:00:00,22.2,23.4334650487058,0.446804347448002,0.645497072831118,1234.6
SE3-56,2016-10-16 00:00:00,04:00:00,2016-10-16 04:00:00,22.9,,,0.66170461749952,1171.4
SE3-57,2016-10-16 00:00:00,08:00:00,2016-10-16 08:00:00,24.1,23.7451383800851,0.0223913329460249,0.665330207524938,1268.2
SE3-58,2016-10-16 00:00:00,12:00:00,2016-10-16 12:00:00,25.4,,,0.659645634452672,1112.85
SE3-59,2016-10-16 00:00:00,16:00:00,2016-10-16 16:00:00,26.9,23.0937966499926,0.271603772471893,0.667059329276966,1225.1
SE3-60,2016-10-16 00:00:00,20:00:00,2016-10-16 20:00:00,27.7,,,0.667149888036644,1178.75
SE3-61,2016-10-17 00:00:00,00:00:00,2016-10-17 00:00:00,29,23.4890519921587,0.0390632288438836,0.699689280391948,1231.25
SE3-62,2016-10-17 00:00:00,04:00:00,2016-10-17 04:00:00,30.2,,,0.693728265015224,1233.4
SE3-63,2016-10-17 00:00:00,08:00:00,2016-10-17 08:00:00,30.1,22.9034472781873,0.223754551327862,0.693376512123452,1263.92576662456
SE3-64,2016-10-17 00:00:00,12:00:00,2016-10-17 12:00:00,30.6,,,0.687906478985555,1188
SE3-65,2016-10-17 00:00:00,16:00:00,2016-10-17 16:00:00,30.7,22.7077241205287,0.402816643427856,0.686093624132682,1294.55
SE3-66,2016-10-17 00:00:00,20:00:00,2016-10-17 20:00:00,30.5,,,0.682628863404902,1291.53186996897
SE3-67,2016-10-18 00:00:00,00:00:00,2016-10-18 00:00:00,30.4,23.3208939649738,0.0882875737164531,0.658921433668421,1299.5
SE3-68,2016-10-18 00:00:00,04:00:00,2016-10-18 04:00:00,30.3,,,0.663239448276326,1306.43100406156
SE3-69,2016-10-18 00:00:00,08:00:00,2016-10-18 08:00:00,30.1,23.3383346411741,0.0290143464619856,0.676817290115032,1374.1
